url_length,dot_count,has_hyphen,has_https,has_suspicious,has_typo,safe_brand_present,has_risky_tld,is_http,entropy,has_at_symbol,domain_age_days,label
31,1,0,1,0,0,0,0,0,3.4692057363559763,0,200,0
53,1,0,1,0,0,0,0,0,3.270426262496858,0,2690,0
34,1,0,1,0,0,0,0,0,2.8615720333162233,0,4171,0
57,1,0,1,0,0,0,0,0,3.707410017052509,0,1965,0
26,1,0,1,0,0,0,1,0,3.0957952550009344,0,15,1
40,4,0,1,0,0,0,0,0,2.2516291673878226,0,15,1
27,1,1,1,0,0,0,0,0,3.6951270920312207,0,1352,0
15,1,0,1,0,0,1,0,0,3.2347018060436294,0,2393,0
26,2,0,1,0,0,0,0,0,2.9477027792200903,0,29,1
20,1,0,1,0,0,0,0,0,2.8073549220576046,0,19,1
18,1,0,1,0,0,1,0,0,3.5919376850241678,0,1620,0
37,2,0,1,0,0,0,0,0,3.2466216623843915,0,729,0
41,3,0,1,0,0,0,0,0,2.523911504294788,0,1257,0
23,1,1,1,0,0,0,0,0,3.0489414787784477,0,4596,0
22,2,0,1,0,0,0,0,0,3.1370584636365533,0,442,0
17,2,0,1,0,0,1,0,0,2.9076695983306955,0,1804,0
31,1,0,1,0,0,0,0,0,3.628465936481483,0,1857,0
20,2,0,1,0,0,0,0,0,3.6918931595509967,0,598,0
28,3,1,1,0,0,0,0,0,3.287465506999877,0,1212,0
37,2,0,1,0,0,0,0,0,2.845243337480055,0,546,0
32,2,0,1,0,0,0,0,0,2.972609045397458,0,2039,0
26,2,0,1,0,0,0,0,0,3.455834190117578,0,2599,0
24,2,0,1,0,0,0,0,0,3.951276411091042,0,2889,0
15,2,0,1,0,0,0,0,0,4.176590888138486,0,519,0
21,2,0,1,0,0,0,0,0,3.5677052158356424,0,3675,0
28,1,0,1,0,0,0,0,0,3.004657769577033,0,1854,0
28,2,0,1,0,0,0,0,0,3.4552650106247444,0,4364,0
35,1,0,1,0,0,0,0,0,3.8093801234113602,0,1852,0
28,2,0,1,0,0,0,0,0,3.7733194279831945,0,3756,0
30,1,0,1,0,0,0,0,0,2.642459521453644,0,1189,0
27,3,0,1,0,0,0,0,0,3.6593296811694236,0,1103,0
29,2,0,1,0,0,0,0,0,4.1689032605868945,0,247,0
32,1,0,1,0,0,0,0,0,4.17564225984895,0,1919,0
35,1,1,1,0,0,0,0,0,3.42774811335517,0,1078,0
30,2,0,0,0,0,0,1,1,2.321928094887362,0,15,1
23,1,0,1,0,0,0,0,0,3.3762326211220497,0,1282,0
40,3,0,1,0,0,0,0,0,3.248231015980986,0,2094,0
37,2,0,1,0,0,0,0,0,3.3529916949451177,0,977,0
53,1,0,1,0,0,0,0,0,3.8491464280848717,0,2794,0
24,3,0,1,0,0,0,0,0,2.59490661824394,0,11,1
17,1,0,1,0,0,0,0,0,3.564502014521944,0,1528,0
59,3,0,1,0,0,0,0,0,3.259511532024065,0,2307,0
19,1,1,1,0,0,0,0,0,3.818376822335547,0,2355,0
26,2,0,1,0,0,0,0,0,3.3820505325446417,0,1548,0
28,2,0,1,0,0,0,0,0,4.181204194944181,0,533,0
21,1,0,1,0,0,0,0,0,2.75,0,10,1
31,1,1,1,0,0,0,0,0,3.502497138731186,0,1561,0
65,2,1,1,0,0,0,0,0,1.5,0,26,1
27,2,0,1,0,0,0,0,0,4.044898370367032,0,1198,0
21,1,1,0,0,0,0,0,0,3.055728732906088,0,634,0
50,2,0,1,0,0,0,0,0,3.981162342528906,0,291,0
35,1,1,1,0,0,0,0,0,3.327819531114783,0,12,1
20,1,0,1,0,0,0,0,0,2.775381840597463,0,4819,0
33,2,0,1,0,0,0,0,0,3.6463289644808787,0,858,0
27,1,0,1,0,0,1,0,0,3.5676281979928097,0,1582,0
46,3,0,1,0,0,0,0,0,2.6568312045278546,0,1068,0
18,1,0,1,0,0,0,0,0,3.729800753826775,0,4863,0
14,1,0,1,0,0,0,0,0,3.1459012708331455,0,3801,0
14,1,0,1,0,0,1,0,0,3.753951640024436,0,4388,0
33,3,0,1,0,0,1,0,0,2.75,0,13,1
32,2,0,1,0,0,1,0,0,3.342740806813241,0,3769,0
55,1,0,1,0,0,0,0,0,3.9823507943235215,0,2931,0
29,1,0,1,0,0,0,0,0,2.9112092246247996,0,531,0
33,1,0,1,0,0,0,0,0,3.2810361125534233,0,12,1
31,2,0,1,0,0,0,0,0,3.0431955945410394,0,1298,0
45,3,0,1,0,0,0,0,0,3.8014598181619927,0,999,0
30,1,0,1,0,0,1,0,0,2.9867227170391955,0,1780,0
23,1,0,1,0,0,1,0,0,3.650941949459308,0,3147,0
37,2,1,1,0,0,0,0,0,3.2234824355565,0,2547,0
30,2,0,1,0,0,0,0,0,2.879014487646746,0,1192,0
76,4,1,1,0,0,0,0,0,1.950212064914747,0,3,1
30,2,0,0,0,0,0,1,1,2.321928094887362,0,28,1
35,1,1,1,0,0,0,0,0,3.576617644908667,0,21,1
32,1,0,1,0,0,0,0,0,2.9208442013638063,0,734,0
50,3,0,1,0,0,0,0,0,3.6324223423119504,0,378,0
58,1,0,1,0,0,0,0,0,3.087919744807329,0,1256,0
34,1,0,1,0,0,0,0,0,3.291158591835437,0,1077,0
63,3,0,1,1,0,0,0,0,3.169925001442312,0,10,1
17,1,0,1,0,0,1,0,0,3.2887121597253763,0,1628,0
19,2,0,1,0,0,0,0,0,2.851371942101469,0,1526,0
28,1,0,1,0,0,0,0,0,3.130919815373984,0,2113,0
28,3,0,1,0,0,0,0,0,3.201647869358354,0,623,0
34,1,0,1,0,0,1,0,0,3.5438515332376266,0,719,0
25,3,0,1,0,0,0,0,0,3.6220447772800224,0,2054,0
43,2,1,1,0,0,0,1,0,2.584962500721156,0,19,1
22,1,0,1,0,0,0,0,0,3.6041600345856324,0,1649,0
36,1,0,1,0,0,0,0,0,3.117998007010752,0,1153,0
28,1,0,1,0,0,0,0,0,3.008127750062745,0,4771,0
16,3,1,1,0,0,0,0,0,3.931000265130833,0,1111,0
23,1,0,1,0,0,0,0,0,3.381192931771216,0,1242,0
26,2,0,1,0,0,0,0,0,2.94770277922009,0,18,1
25,1,0,1,0,0,0,0,0,2.5045957832601617,0,1114,0
22,2,0,1,0,0,0,0,0,2.584962500721156,0,28,1
32,1,0,1,0,0,1,0,0,2.2568012017186097,0,4849,0
18,1,0,1,0,0,0,0,0,1.3709505944546687,0,5,1
34,2,0,1,0,0,0,0,0,2.321928094887362,0,27,1
28,2,0,1,0,0,0,0,0,2.5216406363433186,0,14,1
30,3,0,1,0,0,0,0,0,3.2611322600863235,0,1943,0
34,1,0,1,0,0,0,0,0,3.9356156250911356,0,318,0
35,2,0,1,1,0,0,0,0,2.321928094887362,0,18,1
36,2,0,0,0,0,0,0,1,2.5216406363433186,0,6,1
24,3,1,1,0,0,0,0,0,3.79270381440799,0,771,0
19,2,0,1,0,0,0,0,0,3.5875652945476033,0,2672,0
58,5,0,1,0,0,0,0,0,2.8073549220576046,0,19,1
22,2,1,1,0,0,0,0,0,3.422188106992609,0,1606,0
27,1,0,1,0,0,1,0,0,2.978239506882808,0,2579,0
30,2,0,1,0,0,0,0,0,3.3097358549705853,0,564,0
53,3,1,1,0,0,0,0,0,3.1985709067188606,0,982,0
52,1,1,1,0,0,0,0,0,3.128028391887815,0,2411,0
21,3,0,1,0,0,0,0,0,3.7324331098029666,0,1247,0
25,2,0,1,0,0,0,0,0,3.775228338743152,0,1904,0
23,2,0,1,0,0,0,0,0,1.584962500721156,0,22,1
29,1,0,1,0,0,0,0,0,3.21210695563612,0,2814,0
38,2,0,1,0,0,0,0,0,3.9648981221772726,0,1093,0
45,2,1,1,1,0,0,0,0,2.584962500721156,0,25,1
20,1,0,1,0,0,0,0,0,1.9219280948873623,0,3,1
25,2,0,1,0,0,0,0,0,2.8073549220576046,0,25,1
34,2,0,1,0,0,0,0,0,3.0321794020172232,0,1129,0
14,1,0,1,0,0,0,0,0,2.33705481738982,0,3385,0
31,2,1,1,0,0,0,0,0,2.721928094887362,0,26,1
38,3,0,1,0,0,0,0,0,2.503258334775646,0,15,1
46,1,0,1,0,0,0,0,0,3.503042977124821,0,1017,0
51,2,0,1,1,0,0,1,0,3.181366328891459,0,23,1
32,2,0,1,0,0,0,0,0,3.1797775840480162,0,944,0
29,2,0,0,0,0,0,0,1,2.5216406363433186,0,15,1
28,1,0,1,0,0,0,0,0,3.37408865590128,0,2754,0
30,2,0,0,0,0,0,1,1,2.321928094887362,0,3,1
57,2,1,1,0,0,0,0,0,2.321928094887362,0,26,1
25,2,0,1,0,0,0,0,0,3.419412773946742,0,1562,0
33,2,0,1,0,0,0,0,0,3.076830183417671,0,1043,0
16,1,0,1,0,0,0,0,0,3.147333222879699,0,111,0
17,3,1,1,0,0,0,0,0,3.9488049643524015,0,273,0
34,1,1,1,0,0,0,0,0,4.070298123941006,0,824,0
21,1,0,1,0,0,0,0,0,2.909142523153792,0,724,0
36,2,0,1,0,0,0,0,0,2.9848961275905608,0,422,0
27,1,0,1,0,0,0,0,0,2.6637063818024966,0,2644,0
27,1,0,1,0,0,0,0,0,3.38530475892573,0,202,0
32,1,0,1,0,0,1,0,0,3.5266469833819656,0,3962,0
30,2,0,0,0,0,0,1,1,2.321928094887362,0,6,1
24,2,0,1,0,0,0,0,0,3.6892710130043853,0,891,0
28,2,0,0,0,0,0,0,1,2.5216406363433186,0,13,1
30,2,0,1,0,0,0,0,0,2.321928094887362,0,25,1
63,2,1,1,0,0,0,0,0,2.2359263506290326,0,20,1
41,2,0,1,1,0,0,0,0,3.75,0,5,1
25,2,0,1,0,0,0,0,0,2.725480556997868,0,2,1
33,4,0,1,0,0,0,0,0,2.584962500721156,0,12,1
52,2,0,1,0,0,0,0,0,3.2389012566026314,0,19,1
18,2,0,1,0,0,0,0,0,3.5525788162786336,0,279,0
16,2,0,1,0,0,0,0,0,3.5937980372950116,0,682,0
24,1,0,1,0,0,0,0,0,1.5,0,16,1
31,2,0,1,0,0,0,0,0,3.3433211128285363,0,569,0
16,2,1,1,0,0,0,0,0,3.7909014632388223,0,1039,0
26,1,0,1,0,0,1,0,0,3.780423822593448,0,2489,0
37,2,0,1,0,0,0,0,0,3.78041282606051,0,2371,0
32,2,0,1,0,0,0,0,0,2.584962500721156,0,13,1
45,2,0,1,0,0,0,0,0,2.781564927442871,0,529,0
30,2,0,0,0,0,0,1,1,1.9219280948873623,0,21,1
52,2,0,1,0,0,0,0,0,3.3283873268410806,0,195,0
33,3,0,1,0,0,0,0,0,2.5216406363433186,0,6,1
38,2,0,1,0,0,0,0,0,2.759476738378036,0,223,0
18,2,0,1,0,0,0,0,0,3.7487048687254236,0,1780,0
70,2,1,1,1,0,0,0,0,2.5216406363433186,0,15,1
16,1,0,1,0,0,1,0,0,3.708185681309927,0,4881,0
42,1,0,1,1,0,0,0,0,2.725480556997868,0,5,1
19,1,0,1,0,0,0,0,0,3.0260421256857493,0,4773,0
23,2,0,1,0,0,1,0,0,2.9440878757506885,0,3297,0
47,2,0,1,0,0,0,0,0,3.3760750804792483,0,1530,0
28,2,0,1,0,0,0,0,0,2.5216406363433186,0,15,1
37,2,0,1,0,0,0,0,0,2.780250528193281,0,447,0
53,3,0,1,0,0,0,0,0,3.001912483377716,0,640,0
23,2,0,1,0,0,0,0,0,2.8036243703102777,0,1805,0
26,1,1,1,0,0,0,0,0,2.9203296221738557,0,817,0
22,3,0,1,0,0,0,0,0,3.8419273904348827,0,1769,0
22,2,0,1,0,0,0,0,0,2.812033095641641,0,1270,0
28,1,0,1,0,0,0,0,0,2.8073549220576046,0,4,1
27,1,0,1,0,0,1,0,0,3.2673683404350213,0,1875,0
53,3,1,1,0,0,0,0,0,3.458122553757252,0,2650,0
28,1,0,1,0,0,0,0,0,3.4706865703576257,0,689,0
59,2,0,1,0,0,0,0,0,2.9046151648885803,0,2834,0
28,1,0,1,0,0,0,0,0,3.495197485402352,0,881,0
23,3,0,1,0,0,0,0,0,3.6936262253330607,0,2993,0
18,3,1,1,0,0,0,0,0,2.973132772643036,0,1376,0
32,2,1,1,0,0,0,0,0,2.7049181471343573,0,2725,0
29,2,0,1,0,0,0,0,0,2.5216406363433186,0,25,1
32,1,0,1,0,0,0,0,0,3.736597750377516,0,1125,0
31,1,1,1,0,0,0,0,0,3.4862798087783515,0,757,0
46,2,0,1,0,0,0,0,0,3.525076308352441,0,2152,0
20,1,0,1,0,0,0,0,0,2.5216406363433186,0,6,1
26,2,0,1,0,0,1,0,0,2.990529326091798,0,871,0
21,2,0,1,0,0,0,0,0,3.7790240589985826,0,1119,0
25,2,0,1,0,0,1,0,0,3.783612999434677,0,2880,0
49,2,0,1,1,0,0,1,0,3.6818808028034042,0,24,1
27,2,0,0,0,0,0,0,1,2.5216406363433186,0,22,1
25,2,1,1,0,0,0,0,0,3.8900446769821664,0,1769,0
24,2,0,1,0,0,0,0,0,2.832662700868595,0,135,0
48,3,1,1,0,0,0,0,0,2.5216406363433186,0,10,1
31,1,0,1,0,0,0,0,0,2.584962500721156,0,3,1
32,1,0,1,0,0,0,0,1,3.767601724348748,0,767,0
30,1,0,1,0,0,0,0,0,3.915458693632836,0,424,0
21,1,0,1,0,0,0,0,0,3.0,0,22,1
43,3,1,1,0,0,0,0,0,2.5216406363433186,0,11,1
19,1,0,1,0,0,0,0,0,3.170452081217353,0,4404,0
36,2,0,0,0,0,0,0,1,2.5216406363433186,0,19,1
22,3,0,1,0,0,0,0,0,2.287783719941071,0,1,1
40,2,0,1,0,0,0,0,0,2.809621570484652,0,673,0
24,2,0,1,0,0,0,0,0,3.911812130732013,0,702,0
49,3,0,1,0,0,0,0,0,3.4062103943952433,0,1416,0
21,2,0,1,0,0,0,0,0,1.9219280948873623,0,24,1
38,3,0,1,0,0,0,0,0,2.5216406363433186,0,12,1
24,2,0,1,0,0,0,0,0,3.526670932184892,0,150,0
36,2,0,0,0,0,0,0,1,2.5216406363433186,0,1,1
59,1,0,1,0,0,0,0,0,2.846780369677166,0,1636,0
57,2,1,1,0,0,0,0,0,2.958255428751745,0,2327,0
32,1,0,1,0,0,0,0,0,2.681717770587353,0,830,0
25,1,1,0,0,0,0,0,1,3.2516291673878226,0,17,1
58,3,0,1,0,0,0,0,0,2.7375638819890864,0,761,0
32,2,0,1,0,0,0,0,0,3.622113596188738,0,1668,0
20,2,1,1,0,0,0,0,0,4.118859784381399,0,788,0
27,1,0,1,0,0,1,0,0,2.351367141108075,0,4544,0
56,1,0,1,0,0,0,0,0,2.934769519580251,0,1854,0
17,2,0,1,0,0,0,0,0,3.1250571627850503,0,669,0
40,3,0,1,0,0,0,0,0,2.5216406363433186,0,7,1
21,2,0,1,0,0,0,0,0,2.321928094887362,0,23,1
22,1,0,1,0,0,0,1,0,2.725480556997868,0,6,1
26,1,0,1,0,0,0,0,0,3.757054980725237,0,486,0
34,2,1,1,0,0,0,0,0,3.8283566297633156,0,1587,0
21,2,0,1,0,0,0,0,0,2.9752743120113623,0,1963,0
60,3,0,1,1,0,0,0,0,2.8073549220576046,0,15,1
43,2,0,1,0,0,0,0,0,2.9502120649147474,0,23,1
21,2,0,1,0,0,0,0,0,3.5463817811907274,0,584,0
49,2,1,1,1,0,0,0,0,2.2516291673878226,0,16,1
23,1,0,1,0,0,0,0,0,2.332787637098081,0,4990,0
41,3,0,1,0,0,0,0,0,3.207196117231967,0,2196,0
44,1,0,1,0,0,0,0,0,3.3754838033549186,0,1524,0
28,2,0,1,0,0,0,0,0,4.108910423950684,0,286,0
50,3,0,1,0,0,0,0,0,3.8671706568527835,0,1304,0
57,1,1,1,0,0,0,0,0,3.5631082478640623,0,1168,0
55,3,0,1,0,0,0,0,1,2.9819894880987916,0,1935,0
33,1,0,1,0,0,0,0,0,3.6946991192339835,0,872,0
54,2,0,1,0,0,0,0,0,2.8073549220576046,0,20,1
25,1,0,1,0,0,1,0,0,2.536463816164553,0,2812,0
51,2,0,1,0,0,0,0,0,3.5714254067740714,0,2282,0
33,2,0,1,0,0,0,0,0,3.193596474183024,0,1164,0
33,2,1,1,0,0,0,0,0,2.5032583347756456,0,4,1
22,2,0,1,0,0,0,0,0,2.251629167387823,0,26,1
34,1,0,1,0,0,0,0,0,3.1055534501477786,0,1337,0
58,1,0,1,0,0,0,0,1,2.788900787930583,0,1566,0
47,3,0,1,1,0,0,0,0,3.521640636343319,0,25,1
22,1,0,1,0,0,0,0,0,2.321928094887362,0,20,1
49,3,0,1,0,0,0,0,0,3.447288852642193,0,1272,0
31,1,1,1,0,0,0,0,0,2.94770277922009,0,3,1
17,2,0,1,0,0,0,0,0,3.415624913035061,0,2781,0
17,2,0,1,0,0,0,0,0,3.4025841972616098,0,848,0
19,1,0,1,0,0,0,0,0,2.2516291673878226,0,5,1
18,1,0,1,0,0,0,0,0,2.9619428072317193,0,2473,0
15,2,0,1,0,0,0,0,0,3.4882504451352685,0,1432,0
21,3,0,1,0,0,0,0,0,2.9610913790261657,0,1172,0
34,2,0,1,0,0,0,0,0,3.3418370606519607,0,1905,0
53,2,0,1,0,0,0,0,0,3.5805314698173283,0,2758,0
18,1,0,1,0,0,0,0,0,2.995946173067136,0,771,0
33,2,1,1,0,0,0,0,0,4.140875647020728,0,684,0
26,2,0,0,0,0,0,0,1,2.5216406363433186,0,20,1
15,3,1,1,0,0,0,0,0,3.684968800721261,0,316,0
48,3,1,1,0,0,0,0,0,2.584962500721156,0,4,1
22,1,1,1,0,0,0,0,0,2.7468565262286964,0,1733,0
66,1,1,1,0,0,0,0,0,3.8208888513501886,0,23,1
34,3,0,1,0,0,0,0,0,4.1883544898247225,0,182,0
45,3,0,1,0,0,0,0,0,3.8186029427206574,0,1490,0
31,2,1,1,0,0,0,0,0,2.7117526655309256,0,2068,0
20,2,0,1,0,0,0,0,0,2.6424484074188803,0,954,0
22,1,1,1,0,0,0,0,0,3.1634878091286556,0,1886,0
19,2,0,1,0,0,0,0,0,3.2884837587002056,0,313,0
45,3,1,1,0,0,0,0,0,3.587010383422669,0,1652,0
37,2,0,1,0,0,0,0,0,3.454590027985579,0,950,0
59,3,0,1,0,0,0,0,1,3.7619080652930825,0,2013,0
32,2,0,1,0,0,0,0,0,2.584962500721156,0,26,1
46,2,1,1,0,0,0,0,1,3.256860044952859,0,240,0
24,1,0,1,0,0,0,0,0,2.7394509528227204,0,3515,0
26,2,1,1,0,0,0,0,0,4.083726559752315,0,1430,0
26,2,0,1,0,0,0,0,0,2.2516291673878226,0,28,1
25,1,0,1,0,0,0,0,0,3.485194295604307,0,2173,0
35,1,1,1,0,0,0,0,0,2.526990565204551,0,785,0
26,1,0,1,0,0,0,0,0,2.8783272185872075,0,1126,0
16,2,0,1,0,0,0,0,0,2.46066055154256,0,768,0
30,2,0,1,0,0,0,0,0,2.725480556997868,0,22,1
25,2,0,1,0,0,0,0,0,2.0,0,27,1
19,2,0,1,0,0,0,0,0,3.6973214762389945,0,622,0
32,2,0,1,0,0,0,0,0,3.169925001442312,0,13,1
18,2,1,1,0,0,0,0,0,3.537710224125182,0,1165,0
43,1,0,1,0,0,0,0,0,3.1767793440609102,0,315,0
21,2,0,1,0,0,0,0,0,3.8260001036395916,0,1051,0
31,1,0,1,0,0,0,0,0,3.3692022737776273,0,1058,0
20,1,0,1,0,0,0,0,0,3.551820660054922,0,1643,0
74,2,1,1,0,0,0,0,0,2.0,0,6,1
16,1,0,1,0,0,0,0,0,3.3373169448830717,0,1358,0
48,2,1,1,0,0,0,0,0,2.6224399022964726,0,1595,0
40,1,0,1,0,0,0,0,0,2.9581410030771678,0,626,0
25,2,0,1,0,0,0,0,0,4.120807466529068,0,821,0
31,2,0,1,0,0,0,0,0,3.1373492862686843,0,1077,0
46,3,1,1,0,0,0,0,0,2.5216406363433186,0,28,1
24,1,0,1,0,0,0,0,0,1.5,0,1,1
37,1,0,1,0,0,0,0,0,3.12680287932903,0,1150,0
23,2,0,1,0,0,0,0,0,1.9219280948873623,0,8,1
22,2,0,1,0,0,0,0,0,3.4478864678664194,0,1550,0
31,1,1,1,0,0,1,0,0,3.6818341722144554,0,2122,0
38,2,0,1,0,0,0,0,0,2.949351955204542,0,813,0
24,2,0,1,0,0,0,0,0,2.5216406363433186,0,23,1
27,3,0,1,0,0,0,0,0,3.790389640549636,0,985,0
14,1,0,1,0,0,1,0,0,3.6006714104232245,0,2619,0
38,1,0,0,0,0,0,0,0,3.1319368956995794,0,2281,0
25,1,0,1,0,0,0,1,0,2.8553885422075336,0,22,1
42,1,0,1,0,0,0,0,0,3.5502215877403893,0,2274,0
27,2,0,1,0,0,0,0,0,3.2681328434972183,0,248,0
19,2,0,1,0,0,0,0,0,3.15524358155101,0,1116,0
35,3,0,1,0,0,0,0,0,2.977491758155158,0,1673,0
59,2,0,1,0,0,0,0,0,2.613074963040025,0,1034,0
33,1,0,1,0,0,0,0,0,3.2957815669334884,0,1231,0
28,1,0,1,0,0,0,0,0,3.323231428797621,0,1,1
50,1,0,1,0,0,0,0,0,3.0814348159690494,0,1557,0
59,2,0,1,0,0,0,0,0,3.893310367578657,0,2924,0
48,1,0,1,0,0,0,0,0,3.361967308781737,0,2581,0
43,4,1,1,0,0,0,0,0,2.9477027792200903,0,28,1
26,2,0,0,0,0,0,0,1,2.5216406363433186,0,10,1
16,2,0,1,0,0,0,0,0,3.469808781190881,0,2463,0
24,2,0,1,0,0,0,0,0,3.141180193104184,0,1346,0
17,2,0,1,0,0,0,0,0,3.0575045343204676,0,759,0
26,3,0,1,0,0,0,0,0,2.8761892485770213,0,1293,0
15,2,0,1,0,0,0,0,0,4.065107769132772,0,1309,0
21,3,0,1,0,0,0,0,0,3.2907216403693313,0,547,0
30,2,0,1,0,0,0,1,0,2.321928094887362,0,15,1
31,2,0,1,0,0,0,0,0,3.76295590068033,0,1217,0
22,2,0,1,0,0,0,0,0,2.798913929245352,0,2287,0
22,3,0,1,0,0,0,0,0,3.149171801704398,0,241,0
35,3,0,1,0,0,0,0,0,2.9597333407104207,0,1761,0
20,2,0,1,0,0,0,0,0,2.5522409497063006,0,2027,0
50,3,1,1,0,0,0,0,0,2.5216406363433186,0,20,1
22,3,1,1,0,0,0,0,0,3.003003531276913,0,922,0
35,1,0,1,0,0,0,0,0,3.575741328975624,0,178,0
32,1,0,1,0,0,0,0,0,3.4282088431731603,0,1716,0
25,2,0,0,0,0,0,1,1,2.321928094887362,0,1,1
18,2,1,1,0,0,0,0,0,3.5461989224896517,0,1139,0
23,1,0,1,0,0,0,0,0,3.320153431151825,0,2465,0
14,1,0,1,0,0,0,0,0,3.4430315136275746,0,1048,0
48,4,0,1,0,0,0,0,0,2.2359263506290326,0,18,1
24,1,1,1,0,0,0,0,0,3.1421354955892515,0,1662,0
30,3,1,1,0,0,0,0,0,2.8073549220576046,0,26,1
16,2,0,1,0,0,0,0,0,3.3754998668125418,0,656,0
31,2,1,1,0,0,0,0,0,4.13298229691451,0,491,0
25,1,0,1,0,0,1,0,0,2.77914180735234,0,4123,0
30,2,0,1,0,0,0,0,0,2.5216406363433186,0,18,1
26,1,0,1,0,0,0,0,0,2.321928094887362,0,10,1
16,2,0,1,0,0,1,0,0,3.0077185481566775,0,977,0
32,2,0,1,0,0,0,0,0,2.9933814271820975,0,1721,0
24,2,0,1,0,0,1,0,0,2.7655077627218247,0,4532,0
30,2,0,0,0,0,0,0,0,3.3323346900898443,0,1370,0
34,2,0,1,0,0,0,0,0,3.4572815356308255,0,1551,0
22,2,0,1,0,0,1,0,0,3.37103954161398,0,2222,0
13,1,0,1,0,0,1,0,0,3.416405843789308,0,4157,0
29,3,0,1,0,0,0,0,0,3.3382471506190807,0,1898,0
32,2,0,0,0,0,0,0,0,3.1827343378584487,0,2282,0
26,2,0,1,0,0,1,0,0,3.3451100198330432,0,3701,0
34,1,0,1,0,0,1,0,0,2.4552500839942493,0,848,0
17,3,0,1,0,0,0,0,1,3.3353070496681463,0,2224,0
28,1,1,1,0,0,1,0,0,2.2091725938984217,0,3044,0
37,2,1,1,0,0,0,0,0,3.6470598787371338,0,197,0
31,2,1,1,0,0,0,0,0,3.2516291673878226,0,7,1
22,2,0,1,0,0,0,0,0,1.3709505944546687,0,11,1
17,2,0,1,0,0,0,0,0,3.4469140361298543,0,753,0
29,2,0,1,0,0,1,0,0,3.217377929697331,0,581,0
30,2,0,0,0,0,0,1,1,2.321928094887362,0,28,1
35,1,0,1,1,0,0,0,0,1.9219280948873623,0,4,1
30,2,0,0,0,0,0,1,1,1.9219280948873623,0,7,1
28,1,0,1,0,0,0,0,0,3.9484259417660663,0,1965,0
30,2,0,1,0,0,0,0,0,3.456362919440949,0,2170,0
38,2,1,1,1,0,0,0,0,2.321928094887362,0,5,1
